other_loc_name,other_loc_address
Sever,"пр. Энгельса, 150, St Petersburg, Russia, 194358"
Lassi Plus Cafe,England X22 - Dubai
Gran Caffè Giuliani,"Via Volturno, 60/62, 00185 Roma RM, Italy"
Panther Coffee - Wynwood,"2390 NW 2nd Ave, Miami, FL 33127, United States"
LG Service Center,"15, 4th Cross St, Jawahar Nagar, Kavery Nagar, Reddiarpalayam, Puducherry, 605004, India"
Ramusake Dubai,DoubleTree by Hilton - Dubai
مخيم الضيافة,طريق عسفان، جدة 23857، Saudi Arabia
Villa Orlik Pensjonat Ekoturystyczny,"Chrapowo 70, 74-320 Barlinek, Poland"
Manshiah Square,"El-Mansheya Square, Port Fouad City, Port Said Governorate, Egypt"
Indian Community School Senior,"Block No 10, Essa Al Qatami Road, Salmiya, Kuwait"
Banyan Tree Hotel & Residence,"2, Jalan Conlay, Kuala Lumpur, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Pabsil,"King Abdul Aziz Rd, الفرعي،، Riyadh 12434, Saudi Arabia"
Boudl Al Munsiyah,"الثمامة، Al Munsiyah, Riyadh Saudi Arabia"
Dawoodi Bohra Dargah Mundra,"Mandvi Mundra Rd, Sukhpar, Mundra, Gujarat 370421, India"
Brewsky,"Goenka Chambers, 19th Main Road, J P Nagar, 2nd Phase, Jeewan Griha Colony, Bengaluru, Karnataka 560078, India"
Luxury Tailoring,"Ar Rawabi, Riyadh 14214, Saudi Arabia"
Fossil Rock,Sharjah
Jacked Nutrition,"lot number 16 C, shop no 1 and 2, lane no 10, zamzama commercial area, DHA phase 5, Karachi، 10th Commercial Ln, Zamzama Commercial Area Defence V Karachi, Karachi City, Sindh 75600, Pakistan"
Swati Snacks,"Dalamal Tower, Free Press Journal Marg, Nariman Point, Mumbai, Maharashtra 400021, India"
わたしのサラダ製作所。My SALAD FACTORY,"吉祥寺南ＹＫビル 1 Chome-17-7 吉祥寺南町 Musashino, Tokyo 180-0003, Japan"
Hot n Tasty Roll,"Block 17، Gulistan-e-Johar, Karachi, Karachi City, Sindh, Pakistan"
Shakthi Hill Resort,"BEML Layout, Rajarajeshwarinagar, Off., Bengaluru, Karnataka 560098, India"
Inn & Go Kuwait Plaza Hotel,"Safat Tower, Fahad Al-Salem St, Safat 13045, Kuwait"
NIERUCHOMOŚCI-MANAGER,"Drzymały 6/2, 47-400 Racibórz, Poland"
Meydan Grandstand & Racecourse,Al Meydan Road - Dubai
Khyber Darbar Restaurant,Street 1 - Dubai - United Arab Emirates - Dubai
The Metro Theatre,"624 George St, Sydney NSW 2000, Australia"
Peek & Cloppenburg,"Rathauspl. 42, 59423 Unna, Germany"
Masjid-e-Aala,"Bannerghatta Main Road, Opposite Bosch-MICO, Chinnayanpalya, Wilson Garden, Shanti Nagar, Karnataka, India"
Cafe Wink,"Sikha Galaxy Complex, G-1 Near Dav Public School, Shreshtha Vihar, Anand Vihar, New Delhi, 110092, India"
Najoom,"20 St, Mangaf, Kuwait"
City Point Family Restaurant,"Sun Plaza 2 FF-109 To 115 GIDC Ring Road Vadsar Flyover Manjalpur, Suncity, Vadodara, Gujarat 390010, India"
AE7,"Hassanicor Building, 6th Floor - Dubai"
Royal Home Movers And Packers,"Office # Office no.109, Malik Abdullaha Rashid Hamd Naif, Deira ,Dubai P O, Box no:21044 - Dubai"
Hotel Bamberger Hof-bellevue,"Schönleinspl. 4, 96047 Bamberg, Germany"
Kvantum Karlsson,"Ågatan 16, 233 31 Svedala, Sweden"
The complex Pilsko - Korbielów Jontek,"Jerzego Sitki 8, 34-335 Korbielów, Poland"
العاب الحسين,"2335 Khurais Branch Rd, Al Manar, Riyadh 14221 7851, Saudi Arabia"
Maersk Kanoo UAE LLC,Burj Al Salam - 6th St - Dubai
The Crystal Maze LIVE Experience - West End,"22 - 32 Shaftesbury Ave, London W1D 7EU, United Kingdom"
Zehour Al Nabaa Restaurant,401 Al Sharq St - Sharjah
City Centre,"Opposite ZAIN Telecommuniactions Building 80، Jahra Rd, Shuwaikh، Kuwait"
Dubai Ladies Club,23a Jumeirah Street - Dubai Ladies Club - Dubai
Dunacorso Restaurant,"Budapest, Vigadó tér 3, 1051 Hungary"
Zamzam Mall,"Hawally, Kuwait"
Gvero,"Omladinskih brigada 23, Beograd 11070, Serbia"
Krishna Dairy,"Sai Prasad Building, Uttan Rd, Burhani Nagar, Bhayandar West, Mira Bhayandar, Maharashtra 401101, India"
عمر الخيام ( صفيحة ),"Doha, Qatar"
Centro Comercial Gran Turia,"Plaza de Europa, s/n, 46950 Xirivella, Valencia, Spain"
Carrefour Avenues,"Kuwait, Capital Covernorate, Avenues Mall, Al Rari, Al Rai, Kuwait"
Carrefour,"Irbid, Jordan"
Olives Restaurant,King Salman Bin Abdulaziz Al Saud St - Dubai
Garden Restaurant,طريق الملك عبدالله ،، Riyadh Saudi Arabia
Telcel Mobile Phone Trading LLC,5 8th St - Dubai
The Bank Employees Auditorium,"Ferokh Palakked Highway-(NH-213), Up Hill, Malappuram, Kerala 676505, India"
Private Classic Car Collection,Al Serkal Building - Nasser Bin Abdul Latif - Al Maktoum Rd - Dubai
Cafe Star Gardens,"Airport Rd, Taif 26553, Saudi Arabia"
Fish Market Restaurant مطعم سوق السمك,بناية سناء - Al Wuheida St - Sharjah
Tony Edwards Motors,Al Quoz Industrial Area 1 - Dubai
Ramada Navi Mumbai,"BLDG 156, Millenium Business Park, Pk, Navi Mumbai, Maharashtra 400710, India"
Şile Lighthouse,"Balibey Mh., Fener Cad., 34980 Şile/İstanbul, Turkey"
Bint Al Noukhtha Restaurant,شارع الكورنيش - Kalba Square - Sharjah
Otana Gym,"Fars Province, Shiraz, Shahid Gorbani, Iran"
Warner Brothers World Abu Dhabi,Abu Dhabi - Al Falah Rd - Abu Dhabi
OYO 520 Hotel Nandhini Palace,"Plot No. 72, Next To Bishop Cotton's Girls School, St Mark's Road, Bengaluru, Karnataka 560001, India"
Sumo Sushi & Bento,Ras al Khaimah
The Residences at Marina Gate,Dubai
Shakespeare's Globe,"21 New Globe Walk, London SE1 9DT, United Kingdom"
The History Wedding Venue,"Daraiya, Lebanon"
Port Madrague,"Ain Benian, Algeria"
Marco's Gym and Spa,"Naalya-Namugongo Rd, Kampala, Uganda"
Hilton Garden Inn Kennett Square,"815 E Baltimore Pike, Kennett Square, PA 19348, United States"
"Fit2Run, The Runner's Superstore","Disney Springs Splitsville Building, #A, 1494 E Buena Vista Dr, Lake Buena Vista, FL 32830, United States"
Emirates NBD,"Emirates NBD Building, next to Dubai Police Head Quarters, Al Ittihad Rd - Dubai"
Magia dos Doces Umuarama Confeitaria e Cafeteria,"Praça Santos Dumont, 4090 - Centro, Umuarama - PR, 87506-030, Brazil"
Ammar & Ehaab restaurant,"Wasfi At-Tall St. 28, Amman, Jordan"
Midrand Conference Centre,"661 Pendulum Rd, Halfway House Ext 12, Midrand, 2010, South Africa"
Kalkberg,"21339 Lüneburg, Germany"
Bab Alyemen Restaurant,"مخطط الرواف، Buraydah 52379, Saudi Arabia"
Canberra City YHA,"7 Akuna St, Canberra ACT 2601, Australia"
Fateh Niwas,"Rampura Circle, Sisarma Road, NH76A, Udaipur, Rajasthan 313031, India"
Kasturi Bagh (Luxury Wedding Destination),"Infront of st. Marry Convent school, Village Tilawala Airport Road Jagatpura Jaipur Rajasthan India 302017, Jaipur, Rajasthan 302029, India"
MVL GROUP WAREHOUSE,Dubai Investment Park - 2 - Dubai
Majestic,"Riga Fereou 93, Patra 262 21, Greece"
Nando's The Pearl Qatar,"Andulucia Way, Doha, Qatar"
Courvoisier Centre,"601 Brickell Key Dr, Miami, FL 33131, United States"
Barista World Trade Center,"Level 3 World Trade Center, Bank of Ceylon Mawatha, Colombo 00100, Sri Lanka"
Sherlock's Pub Indiranagar,"212/A, 1st Main Rd, Stage 2, Indiranagar, Bengaluru, Karnataka 560071, India"
Jungle Land Theme Park (Mersal Village),أم حبلين،، Jeddah Saudi Arabia
Le Palais de la Broche,"Chaussée de Bruxelles 540, 1410 Waterloo, Belgium"
Dream Aero Flight Simulator,Dubai
Pergamonmuseum,"Bodestraße 1-3, 10178 Berlin, Germany"
BurgerFuel Motor City,"First Avenue Mall West Arcade, Ground floor, Restaurant No.6 - Dubai"
Rabdi Wala,"Shop 9, 10 & 11, Mangal Arambh, Opposite Kora Kendra Garden, RM Bhattad Marg, Vivekanand Nagar, Borivali West, Mumbai, Maharashtra 400092, India"
HFX Sports Bar & Grill,"1721 Brunswick St, Halifax, NS B3J 3Y3, Canada"
Tyre Express Garhoud,195 Sheikh Rashid Rd - Dubai
GAIL's Bakery Abbeville Road,"71 Abbeville Rd, London SW4 9JW, United Kingdom"
K-Market Mansku,"Mannerheimintie 94, 00250 Helsinki, Finland"
Danube,"Prince Turkey Street, Al Yarmouk, Al Khobar 34424, Saudi Arabia"
Manoushestreet JLT,Cluster F - Dubai
"Building materials Mochima, C.A.","Avenida Paseo Caroni, Ciudad Guayana 8050, Bolívar, Venezuela"
Meeraj Sheermal House,"Gulbahar Waheedabad, Karachi, Karachi City, Sindh 74600, Pakistan"
Paradise Hotel Busan,"296 Haeundaehaebyeon-ro, Jung-dong, Haeundae-gu, Busan, South Korea"
SilverCloud Hotel & Banquets,"Plot No-726 & 727, Opp. Gandhi Ashram & Dandi Bridge, Ashram Road, Wadaj, Ahmedabad, Gujarat 380027, India"
J Kay TVS,"D/182, 100 Feet Rd, opp. R.T.O Ozhanhai, Ozhandai Keerapalaiyam, Mudaliarpet, Puducherry, 605004, India"
Valencia Park Townhouses,Unnamed Road - Dubai
Illegal Burger,"Olaf Ryes plass 4, 0179 Oslo, Norway"
So Spa & Massage in Abu Dhabi,"Hotel Sofitel Abu Dhabi, Capital Plaza Complex - Corniche Rd E - Abu Dhabi"
Dubai International Boat Show,Dubai
"Bharat Petroleum, Petrol Pump -Brothers Auto Fuels","NERIAMANGALAM, ERNAKULUM, Kerala 686693, India"
KTDC Golden Peak Ponmudi,"Post Office, Guest House Rd, Near, Ponmudi, Kerala 695551, India"
Container Terminal 2,Dubai
Zhulree,"moksh plaza, Shop Number, F20, first floor, SV Rd, Borivali West, Mumbai, Maharashtra 400092, India"
Golfeados Avila,"Calle Valgrande, 20, 28108 Alcobendas, Madrid, Spain"
Emirates Golf Club,Near Nakheel Metro - Dubai
Rang Yai Island,"Ko Kaeo, Mueang Phuket District, Phuket 83000, Thailand"
Chili's,City Centre Me'aisem - Dubai
Praise Garden And Hotel,"5, Praise Garden Road, Asero, Abeokuta, Nigeria"
Layali Pool Lounge,Dubai
Eat and drink resturant,Ajman
Garage Bruel,"Avenue de Réquista, 81340 Valence-d'Albigeois, France"
Darjeeling Cafe,10 D St - Dubai
Labour Building S,"Sayan Textile Park, RJD Integrated Textile Park, Limla, Gujarat 394510, India"
Brasserie 2.0,"Al Mamsha Street, Le Royal Meridien Beach Resort & Spa - Dubai"
Indigo Living Sheikh Zayed Road,"Sheikh Zayed Road, Safa Park interchange, Al safa 13A (Jumeirah side - Dubai"
Madhumita's Boutique Exhibition Hall,"P-6, Kalindi Plot, Ground Floor (North), Near Children's Park, Kalindi Housing Estate, South Dumdum, West Bengal 700089, India"
Kotla Panju Baig,"Katla Panju Baig, Sheikhupura, Punjab, Pakistan"
"""Dimitrie Gusti"" National Village Museum","28-30, Şoseaua Pavel D. Kiseleff, București 011347, Romania"
Hyde Park,"London, United Kingdom"
Gulf Pile Dynamics,Dubai
California Pizza Kitchen,42 Sheikh Khalifah Bin Zayed Rd - Dubai
Star Cresent Banquet And Hall,"Jinnah Ave, Model Colony Alamgir Society B Area, Karachi, Karachi City, Sindh, Pakistan"
Middleton Place,"4300 Ashley River Rd, Charleston, SC 29414, United States"
GM Supermercati,"Viale Mario Rapisardi, 663, 95100 Catania CT, Italy"
MÉTROPOLE,"Karagulla Bldg, Minet el Hosn, 24 Park Avenue, Beirut, Lebanon"
Biljardpalatset Göteborg,"9-11, Ekelundsgatan, 411 18 Göteborg, Sweden"
Al Hisn Fort Museum,Sharjah
Omnia Gourmet,"Jumeirah Fish Harbour 1 Shop n1-15 , Jumeirah - Dubai"
Pinecrest Farmers' Market,"11000 Red Rd, Pinecrest, FL 33156, United States"
Turtle Lake,"Tbilisi, Georgia"
Sainsbury's,"London Euston Regents Place Local, 21 Hampstead Rd, London NW1 3JA, United Kingdom"
Noor Al Hayat Tourism LLC,"Shop no: 9, Abdul Rahim Abdulla Mohd Bldg Near Al Futtaim Mosque, Al Murar - Dubai"
MBH Advocates & Legal Consultants Dubai,Latifa Tower - Office # 1007 - Sheikh Zayed Rd - Dubai
Zaatar W Zeit,"City Centre Beirut, L2, Food Court, Hazmieh، Baabda District, Lebanon"
Emperor Car Essentials,"32/1579 A1, Palarivattom, Ernakulam, Kerala 682025, India"
Status Motel,"R. Ipê, s/n - Marquês dos Reis, Jacarezinho - PR, 86400-000, Brazil"
Fruits De Mer,"Costa Smeralda, Villaggio, 07021 Poltu Quatu OT, Italy"
Suria KLCC,"241, Suria KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
KGN 24/7 Mini Market,"Happy Homes, Mir Mehamood Pahadi Rd, Upparpally, Hyderabad, Telangana 500048, India"
Huvudstagrillen,"Huvudstagatan 1, 171 73 Solna, Sweden"
Al Basta Restaurant,Al Barsha - 1 3 B St - Dubai
"Petrol Pump,Ausia","Khaqan Abbassi Rd, Ausia, Rawalpindi, Khyber Pakhtunkhwa, Pakistan"
Levatio Hotel Muscat,"Muscat, Oman"
Al Ahly Sporting Club,"Al Borg, Zamalek, Cairo Governorate, Egypt"
RoadRunner Recycling,"700 N St Mary's St #1400, San Antonio, TX 78205, United States"
Noor Al Qusais Super Market,Dubai
Freddo,"Strada Smârdan 24, București 030167, Romania"
Paris Gallery,Al Zahiyah - Abu Dhabi
First Direct Arena,"Arena Way, Leeds LS2 8BY, United Kingdom"
Gimnasio AltaFit Arena Valencia,"C.C. Arena Multiespacio, Carrer de Santa Genoveva Torres, 21, 46019 Valencia, Spain"
A one Restaurant,"Pathanapuram, Kerala 689695, India"
McDonald's Drive Thru,"Sabah Al Salem, Block 1, Mubarak Al Kabeer, Behind Platinium, Kuwait City 40041, Kuwait"
Eram Garden,"Fars Province, Shiraz, District 1, Eram St, Iran"
KANZ OBHUR,"Alkurnaysh Rd, Abhur Al Junoobiyah, Jeddah 23732, Saudi Arabia"
Nirmala Higher Secondary School,"Pipeline Rd, Kunnathery Thikavu, Aluva, Kerala 683101, India"
FabHotel Joe Grande Thoraipakkam,"40, Customs Colony, Jothi Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097, India"
Shree Datta Snacks Expressway,"Mumbai - Pune Expressway, Dahivati Tarf Boreti, Maharashtra 410203, India"
HAL Heritage Centre and Aerospace Museum,"Near HAL Police Station, HAL Old Airport Rd, Marathahalli, Bengaluru, Karnataka 560037, India"
In Shape Ladies Fitness Club,"Al Joud Building, Next to ACE (Time Square Service Lane), - 3rd Interchange Next to ACE (Time Square Service Lane) - 3rd Interchange, Off - Dubai"
Starbucks,"411 E Quincy St, San Antonio, TX 78215, United States"
Filli Cafe,"Business Bay - Dubai, United Arab Emirates, Bay Avenue - Dubai"
Sree Gokulam Nalanda Resorts,"NH 17, Kasargod Dt, Nileshwar, Kerala 671314, India"
Gran Caffe Convivium,"28 Rue Marbeuf, 75008 Paris, France"
Basilica di Santa Sabina all'Aventino,"Piazza Pietro D'Illiria, 1, 00153 Roma RM, Italy"
PICARDO Chappels,"Padippura, Perintalmanna, Kerala 679322, India"
Gelatissimo,"45 Rue de la République, 06600 Antibes, France"
Fab Jewels Pvt Ltd.,"111, Marol MIDC Industry Estate, Andheri East, Mumbai, Maharashtra 400047, India"
"Sree Navgrah Jain Temple, Chevella","Telangana 501503, India"
Dubai Municipality Accommodation,148 Salah Al Din St - Dubai
Gyoku Sendo,"Maekawa-1336番地 Tamagusuku, Nanjo, Okinawa 901-0616, Japan"
Priory Beach,"Seaview, United Kingdom"
Bar Caffetteria Aurora,"Piazza Carlo Morandini, 1, 28885 Piedimulera VB, Italy"
فقيه أكواريوم,"Al Nawras، Al Kurnaysh Road Next to، Jeddah 23413, Saudi Arabia"
Aynalıkavak Kasrı (Cumhurbaşkanlığı - Milli Saraylar İdaresi),"Hasköy, Aynalı Kavak Cd., 34445 Beyoğlu/İstanbul, Turkey"
Mud Mug Cafe,Dubai
Metro Footwear,"Mankamma Thota, Karimnagar, Telangana 505001, India"
McDonald's Restaurant,"Strängenbach 2, 59510 Lippetal, Germany"
Ario Sapporo,"9 Chome-2-20 Kita 7 Johigashi, Higashi Ward, Hokkaido 065-8518, Japan"
The Gallery Café,"2 Alfred House Rd, Colombo 00300, Sri Lanka"
Traders House Cafe,Dubai
Nippon Bottle Company,"Dusit Thani Hotel, Sheikh Zayed Road - Dubai"
Ottawa Veterinary Clinic,"41 Old Main Rd, Verulam, Ottawa, 4340, South Africa"
غاز لؤلؤة الخليج,ش. عبدالله علي اللوزي، الجبيهه ش.عبد الله علي اللوزي، Jordan
Pandora,"Shop 103/2-32 Hooker Blvd, Broadbeach QLD 4218, Australia"
eGolf Megastore - Al Wasl,"Shop 15&16, Al Wasl Sports Club, Al Wasl F.C. Football Stadium - Oud Metha Rd - Dubai"
MAYFAIR Rourkela,"Panposh Rd, Raghunathpali, Rourkela, Odisha 769004, India"
New Golden Bawarchi Restaurant,"Shop No.8-12-752/A, Inner Ring Road , Opp. Pillar No.45, P & T Colony, Mehdipatnam, Hyderabad, Telangana 500028, India"
All Bar One Leicester Square,"48 Leicester Square, London WC2H 7LU, United Kingdom"
Xenos Amsterdam Kalverstraat,"Kalverstraat 228, 1012 XJ Amsterdam, Netherlands"
TonGro Spicy Korean & Filipino BBQ,"M.L. Quezon National Highway, Lapu-Lapu, 6015 Lalawigan ng Cebu, Philippines"
ملعب الأمانة,"6267 3rd Ring Rd, Al Khalidiyyah, 3694, Mecca 24232 6267, Saudi Arabia"
Opal Tower,Dubai
George Hotel,"79000, Miskevycha Square, 1, Lviv, Lviv Oblast, Ukraine"
Khayal Restaurant,"Prince Sultan Rd, Al-Zahra'a, Jeddah 23522, Saudi Arabia"
GO Sport,"Second Floor,Mall of Emirates, Sheikh Zayed Road,Al Near Vox Cinemas - Dubai"
Tout un Monde,"Place du Village 7, 1091 Bourg-en-Lavaux, Switzerland"
Bharat Petroleum,"Cherooty Rd, Mananchira, Kozhikode, Kerala 673001, India"
Fira de Barcelona,"Avinguda de la Reina Maria Cristina, s/n, 08004 Barcelona, Spain"
Kitchen6,JW Marriott Marquis Hotel - Dubai
Colruyt Aalst,"Brusselse Steenweg 41, 9300 Aalst, Belgium"
On the wood-Al Barsha,Dubai
Via Milano,"4th Floor, No-8, Opposite Sony Center, 80 Feet Main Road,, Sony World Junction, 4th Block Koramangala, Landmark : Above GKB Opticals, Bengaluru, Karnataka 560034, India"
Awwal Al Madina,Sharjah
Blumont Capital Tower,115 Dhafeer St Between Sultan Bin Zayed The First St. and - Sheikh Rashid Bin Saeed St - Abu Dhabi
HSBC Bank Middle East Limited - Head Office,"HSBC Tower, Ground Floor, Emaar Square, Downtown - Dubai"
Firmine,"38B Avenue de Suffren, 75015 Paris, France"
Quadra Plus,Office 208 Dubai National Insurance Building Sheikh Zayed Road Near Dubai Mall Metro Station - Dubai
Golden Hillock Car Repairs,"1 Gough Rd, Birmingham B11 2NG, United Kingdom"
Casper & Gambini's,Dubai
The Outlet Village by Meraas,"Jebel Ali, Near Dubai Parks and Resorts - Dubai"
Dunkin' Donuts,"LuckyOne Mall, Federal B Area, Block 21 Gulberg Town, Karachi, City, Sindh, Pakistan"
FasteR Rent A Car Dubai - Luxury & Sports Car Rental,Rose 2 - 17 A St - Dubai
König 2,"Plaça de la Independència, 2, 17001 Girona, Spain"
Texas Roadhouse,"Ash Shuhada, Riyadh 13241, Saudi Arabia"
Talabat Middle East Internet Services LLC,Single Business Tower - Dubai
HETCO,"Ahmadi, Kuwait"
Kings Drive In,"Survey No. 19, Khanamet, Siddhi Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081, India"
Tai Pan Reflexology Parlour 大班公館,"九龍尖沙咀彌敦道83號華源大廈地庫, 83 Nathan Road basement, Tsim Sha Tsui, Hong Kong"
Basilica di San Pietro in Vincoli,"Piazza di San Pietro in Vincoli, 4/a, 00184 Roma RM, Italy"
Manila Golden Mosque And Cultural Center,"Globo de Oro St, Quiapo, Manila, 1001 Metro Manila, Philippines"
Shangrila Hotel,Dubai
Tirupati Mazima Mall,"Kampala, Uganda"
Honda Sheikh Zayed,464 Sheikh Zayed Rd - Dubai
Discovery Gardens,Office# 602 Al Zarooni Building - شارع الشيخ زايد
Abou Jihad Restaurant,"Mar Takla Street, Jal el Dib, Metn، Jal El Dib, Lebanon"
I am...,"674 North Bridge Rd, Singapore 188804"
KIA Service Center Sharjah,Tasjeel - E311 - Sharjah
Quaglino's,"16 Bury St, St. James's, London SW1Y 6AJ, United Kingdom"
Restaurant Al Kasaba,"Avenue Imam Assili, Asilah, Morocco"
Karting,"Industriestraße 37, 4700 Eupen, Belgium"
Blue Bay Real Estate (FZ),Shatha Tower - Dubai
Mountain Breeze Resort,"1, Mountain Breeze Road, Balqa, Zay, Jalaad, As-Salt, Jordan"
Easy Parking,"Via dell' Industria, 13, 21019 Somma Lombardo VA, Italy"
Quick Clean Laundry Mykonos,"Fabrika, Mikonos 846 00, Greece"
twofour54 Abu Dhabi,"Sheikh Zayed Street, Eastern Ring Road، Behind Ministry of Labor Office, Opposite Khalifa Park - Abu Dhabi"
Mövenpick Resort & Spa Tala Bay Aqaba,"South Beach Road, Tala Bay Area، Aqaba, Jordan"
OliOli® - Children’s Museum,62 4 A St - Dubai
AutoPro,Near - Dubai
New Pattukkottai Kamatchi Mess,"4,Dr.Singara Vale street EB opposite, Pondy Bazaar, Chennai, Tamil Nadu 600017, India"
Fresh Fish Restaurant السمك الطازج,"Marina, Marina View Tower - Dubai"
Pearl Rotana Capital Centre,Al Khaleej Al Arabi St - Abu Dhabi
AFC Sheikhupura,"14/2 Civil Quarters Rd, Jinnah Park, Sheikhupura, Punjab 39350, Pakistan"
Iponri Market,"Iponri Rd, Alaka, Lagos, Nigeria"
Al Maya Supermarket – Al Barsha,"behind IBIS Hotel, Al Barsha - Dubai"
Al Badia Golf Club by InterContinental,Dubai Festival City - Dubai
DSO University Residence-D,"industrial area, dubai silicon oasis - Dubai"
Gin & Tonic Club,"Navrátilova 1421/11, 110 00 Nové Město, Czechia"
Best Buy,"19225 Alderwood Mall Pkwy Suite 130, Lynnwood, WA 98036, United States"
Al Nakheel Villas,شارع الحصة - Dubai
Al Shohada Hotel MAKKAH,"Ajyad Street, Ajyad, Mecca 24231, Saudi Arabia"
Jewel-Osco,"333 E Euclid Ave, Mt Prospect, IL 60056, United States"
Hashem Shaher Zinni Trading Est.,"2705 شارع الحج، العتيبية، مكة 24224 6993 Al Hajj, Al Utaybiyyah, Mecca 24224 6993, Saudi Arabia"
Mozart's Birthplace,"Getreidegasse 9, 5020 Salzburg, Austria"
Tim Little,"560 King's Rd, Fulham, London SW6 2DZ, United Kingdom"
Chowking Orient Restaurant,12 5b Street - Dubai
勇達飲食店,"300, Taiwan, Hsinchu City, North District, Zhongshan Road, 75號"
Springdales School Dubai,"Al Quoz 4,Near Jumeira University - Dubai"
Karkhana- The Food Factory,"1-31, Pashan Rd, Shri Krishna Nagar, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021, India"
Hristo,"Tarabya, Haydar Aliyev Cd. No:170, 34457 Sarıyer/İstanbul, Turkey"
Chili's,"ش النهر، Zamalek, Cairo Governorate, Egypt"
Navarang Khaman,"Navi Shakti Vijay Society, Tapsil Society, Varachha, Surat, Gujarat 395006, India"
Aramco Marine,"Arabian Gulf, Tabuk Saudi Arabia"
McDonald's,"Abu Bakr Alsiddiq St, Badr, Dammam 32265, Saudi Arabia"
Burger King - Majorstuen,"Valkyriegata 11, 0366 Oslo, Norway"
Barbeque Nation - Calicut - Mavoor Road,"3rd Floor Metro Magna Building Near Vijay Apartments, Paraynchery, Mavoor Rd, Post, Kuthiravattom, Kozhikode, Kerala 673016, India"
Delta Hotels by Marriott Frankfurt Offenbach,"Kaiserleistraße 45, 63067 Offenbach am Main, Germany"
Exaa Building Materials Trading LLC,الصناعية الرابعة - Sharjah
Vedge,"1221 Locust St, Philadelphia, PA 19107, United States"
Ｂａｒ・ｎａｇａｔａ,"Japan, 〒850-0841 Nagasaki, Dozamachi, 11−4"
Murjan 1 Sports & Activites Complex,Bahrain
Hotel Malcom and Barret,"Av. d'Ausiàs March, 59, 46013 Valencia, Spain"
Glass & Mirror Centre,"88 Kingston Rd, Portsmouth PO2 7PA, United Kingdom"
CO-OP Shop,"HaPalmach St 42, Jerusalem, Israel"
Currys PC World Featuring Carphone Warehouse,"Unit 2, Burlington Retail Park, Burlington Rd, New Malden KT3 4PA, United Kingdom"
MotorSouq Service Centre,"Sinayiat Al Thuqba, Al Khobar 34626, Saudi Arabia"
Patel Market,"Hira Moti Complex, Charminar, Ghansi Bazaar, Hyderabad, Telangana 500066, India"
Windsor Castle,"Windsor SL4 1NJ, United Kingdom"
Iranian Sweets Palace,2nd December St - Dubai
Ladies Market,"Tung Choi St, Mong Kok, Hong Kong"
Dino Park Mini Golf & Restaurant,"47 Karon Road Karon, Muang, Phuket 83100, Thailand"
Continental tower,8 Jumeirah Beach Rd - Dubai
Faisal Islamic Bank of Egypt,"149 El Tahrir St, Ad Doqi A, Dokki, Giza Governorate, Egypt"
Sanskruti,"Sanskruti ,Syamvatika Society, Oppo. Kameshwar Park Soci., Sukan Char Rasta, Nikol - Naroda Rd, Nikol, Ahmedabad, Gujarat 382350, India"
"The Ritz-Carlton Abu Dhabi, Grand Canal",Abu Dhabi
Urban Bar & Kitchen - UBK,Promenade Level - Cluster A - Dubai
Al Qudra Cycle Path - 28KM,Unnamed Road Dubai
+39 Italian street food,"48, kata, 25 Kata Rd, Karon, Amphoe Mueang Phuket, Phuket 83100, Thailand"
Bet She'arim National Park,"Kiryat Tiv'on, Israel"
Taj Mount Road,"2, Club House Rd, அண்ணா சாலை, Express Estate, ஆயிரம் விளக்கு, Chennai, Tamil Nadu 600002, India"
Madalosso,"Av. Manoel Ribas, 5875 - Santa Felicidade, Curitiba - PR, 81020-490, Brazil"
MASAYA HOTEL | فندق مسايا,"Baharka Rd, Erbil, Iraq"
Cipriani,"Building 1 Yas Marina, Yas Island - Abu Dhabi"
Club Vista Mare,Dubai
Al Faisaliah Mall,"Olaya St, Riyadh 12212, Saudi Arabia"
Alseddah,"Al-Madinah Al-Munawarah Rd, Taiba, Jeddah 23831, Saudi Arabia"
Econet House,"1 First St, Harare, Zimbabwe"
Grillo Resturant,"Al Ahzab Rd, Deffi, Al Jubail 35812, Saudi Arabia"
아씨 부뚜막,"South Korea, Gyeongsangnam-do, Gimhae-si, Jangyu-myeon, Daecheong-ri, 288-14"
The Avenues Mall phase 3,"Al Farwaniyah, Kuwait"
HSBC Bank Middle East Limited - Corporate Headquarters MENA,"Burj Khalifa - HSBC Tower, Ground Floor, Emaar Square, Downtown - Dubai - United Arab Emirates Near Dubai Mall, Opp - Dubai"
NEFES SPA & BATH MYKONOS,"My Mall, Vrisi, Mikonos 846 00, Greece"
Jamie Oliver Pizzeria,"Cluster R, Jumeirah Lake Towers - Dubai"
Nas Cafe,Unnamed Road - Abu Dhabi
Lulu Al Nahda Pharmacy,"Lulu Hypermarket, - Sharjah"
Hyde Park Visitors Center,"London RH7 6HW, United Kingdom"
Zaans Museum,"Schansend 7, 1509 AW Zaandam, Netherlands"
Yas Center Tasheel,Abu Dhabi
